,GalaxyID,FASHIID,ra_h1,dec_h1,mass_ratio,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1
1647,J143838+523452,20230033979,219.6651,52.5757,26.408131140711397,121.7198561,10.93986797,-0.771323383,0.0446422360837459,330.73,2123.29,10.2,0.0447045666666666
1648,J150322+512030,20230032807,225.8497,51.3539,0.27389548737550806,75.35460282,8.337413788,-1.307762504,0.0143455499783158,137.38,1152.92,9.05,0.0144392666666666
1649,J131357+560737,20230063485,198.4778,56.1305,0.13413040533355994,199.1847595,8.825276375,0.018712645,0.0400353632867336,99.42,821.49,9.7,0.0399789
1650,J134602+554255,20230037474,206.5157,55.7165,1.8792515191785653,110.2416918,11.09879875,0.314621031,0.0399844609200954,419.97,3343.57,10.31,0.0400012333333333
1651,J141210+544410,20230036456,213.0554,54.7393,0.9526101838231312,152.2285484,10.3975935,0.016566329,0.0415865704417228,282.29,486.62,9.5,0.0415738333333333
1652,J145041+514216,20230033140,222.669,51.7039,89.31666653093794,86.42908037,10.37488747,0.706697702,0.0259945541620254,302.88,2532.56,9.8,0.0260908
1653,J121725+463400,20230028637,184.3657,46.5624,0.1128582077096866,84.59364376,9.386557579,0.285069585,0.0234833993017673,146.74,2794.09,9.8,0.0235891333333333
1654,J143652+405635,20230021566,219.2279,40.9511,0.15090687681731588,116.100611,8.191893578,-1.205088496,0.0158819630742073,90.51,135.03,8.18,0.0158800666666666
1655,J123933+473733,20230056009,189.8927,47.6196,0.7073248416189645,174.4135804,8.473937988,-0.380785584,0.0241452548652887,350.25,2557.22,9.78,0.0241931333333333
1656,J125816+475106,20230029810,194.5683,47.856,2.8924734216602994,187.4978409,10.44676113,0.554093719,0.0829817503690719,268.24,1270.03,10.49,0.0830830333333333
1657,J125406+481539,20230030135,193.5309,48.2557,4.410272730564547,125.7920579,9.347531319,0.066066936,0.0299956630915403,208.31,3122.81,10.05,0.0300217666666666
1658,J153120+355855,20230013188,232.8082,35.9808,0.02350444609091629,181.469202,8.820034981,-0.611235917,0.0367744229733943,173.59,400.66,9.33,0.0367803333333333
1659,J095540+374910,20230016380,148.9126,37.8242,0.023695362386723155,117.196696,8.374827385,-0.758054972,0.0317037925124168,120.44,404.12,9.23,0.0316233666666666
1660,J113604+432827,20230025171,174.0358,43.4791,0.32800581190191597,106.0776403,9.212929726,-0.520717502,0.0244195163249969,47.74,365.55,8.96,0.0244075
