Galaxy,PID,RA_A,DEC_A,Z_A,RA_B,DEC_B,Z_B
J080742+394901,8749,121.92534619782094,39.81713178558326,0.06841620057821274,121.9259372079193,39.811511719442464,0.06860660016536713
J090033+493705,8759,135.13811797146886,49.618081352283404,0.037686124444007874,135.11164409258225,49.64783550454162,0.038000624626874924
J090033+493705,8759,135.13811797146886,49.618081352283404,0.037686124444007874,135.11164409258225,49.64783550454162,0.038000624626874924
J104854-004233,8811,162.22860914331974,-0.7093179567624021,0.02603709138929844,162.25836257017784,-0.7173135287213069,0.026116330176591873
J104854-004233,8811,162.22860914331974,-0.7093179567624021,0.02603709138929844,162.25836257017784,-0.7173135287213069,0.026116330176591873
J152246+592109,9327,230.69564640810796,59.352608531315674,0.07614468038082123,230.75808237628866,59.38367482910885,0.07598075270652771
J111244+580648,9527,168.18477781401083,58.113371188345575,0.03205908089876175,168.20229590466425,57.99990160615877,0.03223744034767151
J132955+583018,9609,202.48300574498973,58.50509020671498,0.06327758729457855,202.5121987419426,58.49047508406096,0.06343670934438705
J100721+553009,9643,151.84141824549616,55.502752263999476,0.032701946794986725,151.85815437909437,55.5051324702118,0.032544270157814026
J101439+561010,9647,153.663798996935,56.16966524186008,0.026960311457514763,153.68879617752108,56.18833362112546,0.025652796030044556
J125423+604429,9793,193.5996834462399,60.741606168379406,0.05843907967209816,193.63181042400998,60.76084905367575,0.05837099999189377
J164240+401008,10141,250.66802263626676,40.169096614616194,0.032454025000333786,250.73882214759763,40.130253741187026,0.03205141797661781
J154246+531905,10152,235.69346268287674,53.31824230449932,0.04144973307847977,235.78501750313185,53.24622830859996,0.041771259158849716
J171140+323354,10216,257.9195533928384,32.5651674188701,0.036526162177324295,257.9953791640911,32.53444484150504,0.03802116587758064
J161721+425323,10272,244.3415182556194,42.889743836572556,0.059122711420059204,244.39521428450558,42.882502913288334,0.06078005209565163
J123223+624319,10502,188.09909694572525,62.72200655288891,0.03459985926747322,188.25049974842418,62.70364333047524,0.034728217869997025
J163215+405130,10637,248.06575813999757,40.858509961973766,0.029431331902742386,248.16580897438183,40.85853067705864,0.028412742540240288
J163727+393250,10641,249.36312651305286,39.547384491084,0.03143460303544998,249.4500244876674,39.50350480025488,0.03137115016579628
J170039+324534,10652,255.16279984973875,32.759584741656084,0.036611057817935944,255.1225049181429,32.732688954870966,0.0367514006793499
J164115+391724,10665,250.31305608284816,39.2900752257183,0.030542297288775444,250.26802192075075,39.33155264148922,0.02973724715411663
J164324+392059,10689,250.85383894555008,39.3499714088179,0.03075132891535759,250.85807908055546,39.33111423403108,0.030603835359215736
J164324+392059,10689,250.85383894555008,39.3499714088179,0.03075132891535759,250.85807908055546,39.33111423403108,0.030603835359215736
J113921+623432,10849,174.8398918622614,62.575557252968686,0.03295581415295601,174.91697241457638,62.6010931500109,0.03276726230978966
J113921+623432,10849,174.8398918622614,62.575557252968686,0.03295581415295601,174.91697241457638,62.6010931500109,0.03276726230978966
J133402+614340,10863,203.51188697215247,61.72779471116009,0.031180089339613914,203.56352865384812,61.69719689754891,0.0311950221657753
J133854-014640,11270,204.72631795953333,-1.7778628461528942,0.022287923842668533,204.6806293753827,-1.7041683589868493,0.02229646034538746
J135012-022611,11403,207.55347718581123,-2.4365079731361763,0.023830683901906013,207.52984940252412,-2.420503967688874,0.024095090106129646
J135012-022611,11403,207.55347718581123,-2.4365079731361763,0.023830683901906013,207.52984940252412,-2.420503967688874,0.024095090106129646
J140243-022004,11409,210.6820240136091,-2.334546742357457,0.024357914924621582,210.69420050920408,-2.295895773699842,0.02487785369157791
J140243-022004,11409,210.6820240136091,-2.334546742357457,0.024357914924621582,210.69420050920408,-2.295895773699842,0.02487785369157791
J143514-020500,11417,218.81151787386202,-2.083433018381575,0.05045230686664581,218.78605975088504,-2.0617609676879307,0.050931092351675034
J143514-020500,11417,218.81151787386202,-2.083433018381575,0.05045230686664581,218.78605975088504,-2.0617609676879307,0.050931092351675034
